+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                         URI                         |  MIN  |  MAX   |   SUM   |  AVG  |  P1   |  P50   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/e7ae0e65a2deb1f89a1f82dfc713c787cf2a5233.png | 6.946 |  6.946 |   6.946 | 6.946 | 6.946 |  6.946 |  6.946 |  0.000 | 366869.000 | 366869.000 |   366869.000 | 366869.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/2716e8a567c6eb3bab842e5b82940e795583ce59.png | 7.019 |  7.019 |   7.019 | 7.019 | 7.019 |  7.019 |  7.019 |  0.000 | 426930.000 | 426930.000 |   426930.000 | 426930.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/e01bb3e44b4b80c34168091f7aa3ce083b31add1.png | 7.026 |  7.026 |   7.026 | 7.026 | 7.026 |  7.026 |  7.026 |  0.000 | 217269.000 | 217269.000 |   217269.000 | 217269.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/f906be69b742085556fd0d80ac1241e2693d9872.png | 0.474 |  0.474 |   0.474 | 0.474 | 0.474 |  0.474 |  0.474 |  0.000 | 196885.000 | 196885.000 |   196885.000 | 196885.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/afed4119e9395c58e691e8f1c2687ce222e95183.png | 7.728 |  7.728 |   7.728 | 7.728 | 7.728 |  7.728 |  7.728 |  0.000 | 197501.000 | 197501.000 |   197501.000 | 197501.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/c192f5cb12a1e37d0e5ada0c2fa5335d016b912c.png | 7.772 |  7.772 |   7.772 | 7.772 | 7.772 |  7.772 |  7.772 |  0.000 | 687385.000 | 687385.000 |   687385.000 | 687385.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/d9efb5732e0ee53618bd10d2ddc5a6b33edc4751.png | 7.801 |  7.801 |   7.801 | 7.801 | 7.801 |  7.801 |  7.801 |  0.000 | 430334.000 | 430334.000 |   430334.000 | 430334.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/8aa90058ae2ca9c39b63de8bceef53e2d3a6d80c.png | 7.614 |  7.614 |   7.614 | 7.614 | 7.614 |  7.614 |  7.614 |  0.000 | 111751.000 | 111751.000 |   111751.000 | 111751.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/4222f36590fbd90f9b7179efaa582ae51c777c52.jpg | 8.291 |  8.291 |   8.291 | 8.291 | 8.291 |  8.291 |  8.291 |  0.000 | 329742.000 | 329742.000 |   329742.000 | 329742.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /icons/7598595abd317f5ae637300a27f95e3c700376a7.png | 0.453 |  0.453 |   0.453 | 0.453 | 0.453 |  0.453 |  0.453 |  0.000 | 436866.000 | 436866.000 |   436866.000 | 436866.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /history/370                                        | 0.033 |  0.033 |   0.033 | 0.033 | 0.033 |  0.033 |  0.033 |  0.000 |  25810.000 |  25810.000 |    25810.000 |  25810.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /history/338                                        | 0.101 |  0.101 |   0.101 | 0.101 | 0.101 |  0.101 |  0.101 |  0.000 |  25820.000 |  25820.000 |    25820.000 |  25820.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /initialize                                         | 0.025 |  0.025 |   0.025 | 0.025 | 0.025 |  0.025 |  0.025 |  0.000 |      0.000 |      0.000 |        0.000 |      0.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | GET    | /css/bootstrap.min.css.map                          | 0.000 |  0.000 |   0.000 | 0.000 | 0.000 |  0.000 |  0.000 |  0.000 |    571.000 |    571.000 |      571.000 |    571.000 |
|     1 |   0 |   0 |   1 |   0 |   0 | GET    | /profile/kitou_tomoka                               | 0.002 |  0.002 |   0.002 | 0.002 | 0.002 |  0.002 |  0.002 |  0.000 |      0.000 |      0.000 |        0.000 |      0.000 |
+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------------+-------+--------+---------+-------+-------+--------+--------+--------+------------+------------+--------------+------------+
